,,,,,
Restaurant name,Dish,Price,Taste Rating,Location,Portion size
 bee kaa banku ,Banku,ranges from 20 ,9,mokola F.service ,    small
Atw3 twe,waakye ,6,5,anumantu ,large 
Emaaaaaa koko,porridge ,5,depends ,Tsuibleo,small
Obenewaaa,Beans ,8,7,point 5,medium 
Jama y)),Beans ,10,10,cold store ,small
Abby's kitchen,Fufu,from 15,8,Kissieman,medium 
God's power ,fufu,15 beef 10,7.5,bush canteen,large
Didi,Jollof,65+,10,Jubilee Hall ,medium
Davii Beans,beans,10+ ,7.5,night market ,small
Jakpa View Tasty,bread and egg ,16+,8.5,Kwapong Hall,medium 
Mr Wu's,"fried rice, jollof, noodles, calamari",60+,6.5,Bani,medium
Sarbah Club,"fried rice, jollof",50,7.6,Behind Sarbah Main,large
Shacels,"fried rice, jollof, fries",35+,7.8,Kwapong,medium
Peri Americana,"fried rice, jollof",35+,6,"Evandy, Night market",medium 
Magtee,"fried rice, jollof",15+,7.3,Night Market,medium
Sweet Lami,"fried rice, jollof, waakye",15+,6.4,Night Market,medium 
Botany,"indomie, fried rice, jollof",35+,7.7,Around Botany Department,large
Jehovah is lord,"bread and egg, porridge, koko",10+,7.2,Night Market,medium 
Sarah's Kitchen,"fried rice, yam chips, jollof, fries",35+,7.3,Night market,medium
Snack pot,"samosa, spring roll, sausage roll, ice cream, meat pie, donut, pancake",4+,7.6,Night market car park,small
Adakins,"fried rice, jollof, shawarma, assorted fried rice",35+,7.7,TF,medium 
Pizza Hut,pizza,50+,8.7,UPSA,medium+
