restaurant,food,price,taste,location,portion_size,dish_category,description,source_url
Buka,Asun (Peppered Goat),100,N/A,Accra,N/A,Uncategorized,"A spicy and smoky dish of chopped goat meat, sautéed in a fiery pepper sauce.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Peppered Snails,125,N/A,Accra,N/A,Uncategorized,"A true delicacy for the adventurous palate.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Suya,90,N/A,Accra,N/A,Uncategorized,"Classic Nigerian grilled meat skewers with a spicy peanut rub.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Peppered Octopus,85,N/A,Accra,N/A,Uncategorized,"Tender octopus in a vibrant pepper sauce.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Peppered Gizzards,65,N/A,Accra,N/A,Uncategorized,"A delicious and savory bite.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,BBQ/Peppered Chicken Wings (6pcs),70,N/A,Accra,N/A,Uncategorized,"Your choice of flavour for these juicy wings (6 pieces).","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,BBQ/Peppered Chicken Wings (12pcs),130,N/A,Accra,N/A,Uncategorized,"Your choice of flavour for these juicy wings (12 pieces).","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Nigerian Goat Pepper Soup,85,N/A,Accra,N/A,Uncategorized,"A light, brothy, and intensely flavourful soup.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Moyin Moyin,50,N/A,Accra,N/A,Uncategorized,"A savory steamed bean pudding.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Green Salad,50,N/A,Accra,N/A,Salads,"Fresh mixed greens.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Ghana Salad,110,N/A,Accra,N/A,Salads,"A hearty salad from Ghana with vegetables.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Tuna & Egg Salad,95,N/A,Accra,N/A,Salads,"Tuna and egg salad with greens.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Smoked Chicken & Avocado Salad,125,N/A,Accra,N/A,Salads,"Salad with smoked chicken and avocado slices.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Gari Fotor,150,N/A,Accra,N/A,Uncategorized,"A popular dish of grated cassava grits.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Beans Stew,120,N/A,Accra,N/A,Uncategorized,"A hearty and comforting stew.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Kontomere Stew (Palava Sauce),120,N/A,Accra,N/A,Uncategorized,"A rich stew made from cocoyam leaves.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Fetri Detsi,135,N/A,Accra,N/A,Uncategorized,"A traditional Ewe soup with okra.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Goat/Beef Stew,120,N/A,Accra,N/A,Uncategorized,"Meat stew with goat or beef.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Fish Stew,120,N/A,Accra,N/A,Uncategorized,"Classic fish stew.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Tilapia,150,N/A,Accra,N/A,Uncategorized,"A whole grilled tilapia, a Buka signature.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Fish Steak,125,N/A,Accra,N/A,Uncategorized,"Grilled fish steak option.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Lamb Chops,240,N/A,Accra,N/A,Uncategorized,"Tender and juicy lamb chops.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Chicken (Quarter),80,N/A,Accra,Quarter,Uncategorized,"Grilled chicken - Quarter portion.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Chicken (Half),140,N/A,Accra,Half,Uncategorized,"Grilled chicken - Half portion.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Chicken (Whole),250,N/A,Accra,Whole,Uncategorized,"Grilled chicken - Whole bird.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Grilled Guinea Fowl (Whole),200,N/A,Accra,Whole,Uncategorized,"Whole grilled guinea fowl.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Beef Kebab,100,N/A,Accra,N/A,Kebabs,"Beef kebab sticks.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Chicken Kebab,90,N/A,Accra,N/A,Kebabs,"Chicken kebab sticks.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Fish Kebab,100,N/A,Accra,N/A,Kebabs,"Fish kebab sticks.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Prawn Kebab,220,N/A,Accra,N/A,Kebabs,"Prawn kebab skewers.","https://wirecake.com/buka-restaurant-menu-prices/"
Buka,Eba,20,N/A,Accra,N/A,Swallows,"Staple swallow made from garri.","https://wirecake.com/buka-restaurant-menu-prices/"
