restaurant,food,price,taste,location,portion_size,dish_category
KFC,Streetwise 5 - Large Chips (30%OFF),150.0,7,Accra,N/A,Chowdeck Deals 
KFC,Streetwise 2 Rice,75.0,7,Accra,N/A,Streetwise Meals
KFC,Streetwise 2 - Chips,68.0,6.5,Accra,N/A,Streetwise Meals
KFC,Streetwise 3 - Rice,92.0,7,Accra,N/A,Streetwise Meals
KFC,Streetwise 3 - Chips,88.0,6.5,Accra,N/A,Streetwise Meals
KFC,Streetwise 4,126.0,7,Accra,N/A,Streetwise Meals
KFC,Honey KFC Dunked Wings,87.0,7.8,Accra,N/A,Value Meals
KFC,Streetwise Wings Meal,47.0,7.5,Accra,N/A,Value Meals
KFC,Honey Dunked Twister Meal,102.0,7.2,Accra,N/A,Value Meals
KFC,Honey Dunked Twister,61.0,7.2,Accra,N/A,Value Meals
KFC,Streetwise Wings Meal Chips,47.0,7.5,Accra,N/A,Value Meals
KFC,9 Pieces Chicken,251.0,7.2,Accra,N/A,Chicken Pieces and Chicken Buckets
KFC,12 Pieces Chicken,330.0,7.2,Accra,N/A,Chicken Pieces and Chicken Buckets
KFC,1 Piece Chicken,30.0,6.8,Accra,N/A,Chicken Pieces and Chicken Buckets
KFC,15 Pieces Chicken,407.0,7.3,Accra,N/A,Chicken Pieces and Chicken Buckets
KFC,2 Pieces Chicken,57.0,7,Accra,N/A,Chicken Pieces and Chicken Buckets
KFC,3 pieces of Full Hot Wings,87.0,7.6,Accra,N/A,Wings/Pops/Nuggets
KFC,Chicken Bites - Regular,60.0,7,Accra,N/A,Wings/Pops/Nuggets
KFC,Chicken Bites - Large,70.0,7.2,Accra,N/A,Wings/Pops/Nuggets
KFC,6 pieces of Full Hot Wings,170.0,7.7,Accra,N/A,Wings/Pops/Nuggets
KFC,Chicken Bites Bucket,119.0,7.3,Accra,N/A,Wings/Pops/Nuggets
KFC,BoxMaster Meal,119.0,7.2,Accra,N/A,Twisters
KFC,Twister Meal,78.0,7.2,Accra,N/A,Twisters
KFC,Boxmaster,90.0,7.1,Accra,N/A,Twisters
KFC,Twister,60.0,7.1,Accra,N/A,Twisters
KFC,Zinger Burger,71.0,7.9,Accra,N/A,Burger and Burger Meals
KFC,Veg Burger,55.0,6.8,Accra,N/A,Burger and Burger Meals
KFC,Zinger Burger Meal,95.0,7.8,Accra,N/A,Burger and Burger Meals
KFC,Tower Burger,90.0,7.6,Accra,N/A,Burger and Burger Meals
KFC,KFC Loaded Fries,78.0,6.8,Accra,N/A,New
KFC,Mash and Gravy,25.0,6.5,Accra,N/A,New
KFC,Extra Tomato Ketchup,6.0,6,Accra,N/A,Sides
KFC,Extra Zinger Dip,10.0,6.5,Accra,N/A,Sides
KFC,Large Chips,42.0,6.8,Accra,N/A,Sides
KFC,Extra Cheese,14.0,6.8,Accra,N/A,Sides
KFC,Regular Chips,36.0,6.5,Accra,N/A,Sides
KFC,Extra Hash Brown,14.0,6.6,Accra,N/A,Sides
KFC,Chips Bucket,66.0,7,Accra,N/A,Sides
KFC,Extra Colonel Dip,10.0,6.5,Accra,N/A,Sides
KFC,Coleslaw,12.0,7,Accra,N/A,Sides
KFC,KFC Spicy Rice,35.0,7.2,Accra,N/A,Sides
KFC,Extra Veg Shito,6.0,7.2,Accra,N/A,Sides
KFC,Sprite 300ML,14.0,N/A,Accra,N/A,Cold Drinks and Water
KFC,Mineral Water 500ML,7.0,N/A,Accra,N/A,Cold Drinks and Water
KFC,Coke 300ML,14.0,N/A,Accra,N/A,Cold Drinks and Water
KFC,Fanta 300ML,14.0,N/A,Accra,N/A,Cold Drinks and Water
Just Taste,Assorted Fried Rice medium pack,45.0,8.2,Accra,N/A,Fried Rice Dishes
Just Taste,Fried Rice with Fried Chicken medium pack,47.0,8.5,Accra,N/A,Fried Rice Dishes
Just Taste,Assorted Rice Heavy Loaded,55.0,8.7,Accra,N/A,Fried Rice Dishes
Just Taste,Special Fried Rice,65.0,8.9,Accra,N/A,Fried Rice Dishes
Just Taste,Fried Rice with Fried Chicken Heavy Loaded,55.0,8.6,Accra,N/A,Fried Rice Dishes
Just Taste,Assorted Rice with Chicken Thigh,55.0,8.3,Accra,N/A,Fried Rice Dishes
Just Taste,Egg and Tuna Salad,40.0,7.2,Accra,N/A,Salads
Just Taste,Vegetable Salad,25.0,6.8,Accra,N/A,Salads
Just Taste,Assorted Jollof Heavy Loaded,60.0,8.8,Accra,N/A,Jollof Dishes
Just Taste,Assorted Jollof medium pack,47.0,8.4,Accra,N/A,Jollof Dishes
Just Taste,Egg indomie,35.0,7.1,Accra,N/A,Noodles
Just Taste,Chicken indomie,45.0,7.4,Accra,N/A,Noodles
Just Taste,Assorted noodles heavy loaded,50.0,7.6,Accra,N/A,Noodles
Just Taste,Jollof Rice Heavy Loaded,50.0,8.7,Accra,N/A,Jollof Dishes
Just Taste,Beef indomie,45.0,7.2,Accra,N/A,Noodles
Just Taste,Potatoes with Fried Chicken,65.0,7.9,Accra,N/A,Yam & Potato Dishes
