restaurant,food,price,taste,location,portion_size,dish_category,description,source_url,votes_count
KFC,Streetwise 5 - Large Chips (30%OFF),150.0,7.0,Accra,,Chowdeck Deals ,,chowdeck,1
KFC,Streetwise 2 Rice,75.0,7.0,Accra,,Streetwise Meals,,chowdeck,1
KFC,Streetwise 2 - Chips,68.0,6.5,Accra,,Streetwise Meals,,chowdeck,1
KFC,Streetwise 3 - Rice,92.0,7.0,Accra,,Streetwise Meals,,chowdeck,1
KFC,Streetwise 3 - Chips,88.0,6.5,Accra,,Streetwise Meals,,chowdeck,1
KFC,Streetwise 4,126.0,7.0,Accra,,Streetwise Meals,,chowdeck,1
KFC,Honey KFC Dunked Wings,87.0,7.8,Accra,,Value Meals,,chowdeck,1
KFC,Streetwise Wings Meal,47.0,7.5,Accra,,Value Meals,,chowdeck,1
KFC,Honey Dunked Twister Meal,102.0,7.2,Accra,,Value Meals,,chowdeck,1
KFC,Honey Dunked Twister,61.0,7.2,Accra,,Value Meals,,chowdeck,1
KFC,Streetwise Wings Meal Chips,47.0,7.5,Accra,,Value Meals,,chowdeck,1
KFC,9 Pieces Chicken,251.0,7.2,Accra,,Chicken Pieces and Chicken Buckets,,chowdeck,1
KFC,12 Pieces Chicken,330.0,7.2,Accra,,Chicken Pieces and Chicken Buckets,,chowdeck,1
KFC,1 Piece Chicken,30.0,6.8,Accra,,Chicken Pieces and Chicken Buckets,,chowdeck,1
KFC,15 Pieces Chicken,407.0,7.3,Accra,,Chicken Pieces and Chicken Buckets,,chowdeck,1
KFC,2 Pieces Chicken,57.0,7.0,Accra,,Chicken Pieces and Chicken Buckets,,chowdeck,1
KFC,3 pieces of Full Hot Wings,87.0,7.6,Accra,,Wings/Pops/Nuggets,,chowdeck,1
KFC,Chicken Bites - Regular,60.0,7.0,Accra,,Wings/Pops/Nuggets,,chowdeck,1
KFC,Chicken Bites - Large,70.0,7.2,Accra,,Wings/Pops/Nuggets,,chowdeck,1
KFC,6 pieces of Full Hot Wings,170.0,7.7,Accra,,Wings/Pops/Nuggets,,chowdeck,1
KFC,Chicken Bites Bucket,119.0,7.3,Accra,,Wings/Pops/Nuggets,,chowdeck,1
KFC,BoxMaster Meal,119.0,7.2,Accra,,Twisters,,chowdeck,1
KFC,Twister Meal,78.0,7.2,Accra,,Twisters,,chowdeck,1
KFC,Boxmaster,90.0,7.1,Accra,,Twisters,,chowdeck,1
KFC,Twister,60.0,7.1,Accra,,Twisters,,chowdeck,1
KFC,Zinger Burger,71.0,7.9,Accra,,Burger and Burger Meals,,chowdeck,1
KFC,Veg Burger,55.0,6.8,Accra,,Burger and Burger Meals,,chowdeck,1
KFC,Zinger Burger Meal,95.0,7.8,Accra,,Burger and Burger Meals,,chowdeck,1
KFC,Tower Burger,90.0,7.6,Accra,,Burger and Burger Meals,,chowdeck,1
KFC,KFC Loaded Fries,78.0,6.8,Accra,,New,,chowdeck,1
KFC,Mash and Gravy,25.0,6.5,Accra,,New,,chowdeck,1
KFC,Extra Tomato Ketchup,6.0,6.0,Accra,,Sides,,chowdeck,1
KFC,Extra Zinger Dip,10.0,6.5,Accra,,Sides,,chowdeck,1
KFC,Large Chips,42.0,6.8,Accra,,Sides,,chowdeck,1
KFC,Extra Cheese,14.0,6.8,Accra,,Sides,,chowdeck,1
KFC,Regular Chips,36.0,6.5,Accra,,Sides,,chowdeck,1
KFC,Extra Hash Brown,14.0,6.6,Accra,,Sides,,chowdeck,1
KFC,Chips Bucket,66.0,7.0,Accra,,Sides,,chowdeck,1
KFC,Extra Colonel Dip,10.0,6.5,Accra,,Sides,,chowdeck,1
KFC,Coleslaw,12.0,7.0,Accra,,Sides,,chowdeck,1
KFC,KFC Spicy Rice,35.0,7.2,Accra,,Sides,,chowdeck,1
KFC,Extra Veg Shito,6.0,7.2,Accra,,Sides,,chowdeck,1
KFC,Sprite 300ML,14.0,,Accra,,Cold Drinks and Water,,chowdeck,1
KFC,Mineral Water 500ML,7.0,,Accra,,Cold Drinks and Water,,chowdeck,1
KFC,Coke 300ML,14.0,,Accra,,Cold Drinks and Water,,chowdeck,1
KFC,Fanta 300ML,14.0,,Accra,,Cold Drinks and Water,,chowdeck,1
Just Taste,Assorted Fried Rice medium pack,45.0,8.2,Accra,,Fried Rice Dishes,,chowdeck,1
